dataset1,dataset2,feature,csi
test,validation,profileRawAmountPercentile50,0.4184810586192246
test,validation,profileRawStdSessionAction3Count,0.41312425825208887
test,validation,profileRawMeanSessionAction8Count,0.41299569942373504
test,validation,profileRawStdSessionActionCount,0.33249154974184425
test,validation,profileRawMeanSessionActionCount,0.325973999591481
test,validation,profileRawStdSessionAction6Count,0.3133186843435532
test,validation,profileRawMeanSecondsToTransaction,0.29994236870028557
test,validation,profileRawStdSessionAction0Count,0.2925740935762839
test,validation,profileRecipientTxnCount,0.2910677015212292
test,validation,profileRawAmountPercentile90,0.2816421237683339
train,test,profileRawStdSessionAction5Count,0.28161964785904675
test,validation,profileRawMeanSessionAction2Count,0.27290692532669947
test,validation,profileRawMeanSessionAction3Count,0.25583833961338776
test,validation,profileRawMeanSessionTransactionFromCheckingCount,0.25146170040466187
test,validation,profileRawStdSecondsToTransaction,0.2501178408107577
test,validation,profileRawStdSessionAction9Count,0.2351488842895661
test,validation,profileRawStdSessionAction2Count,0.23376284319038404
test,validation,profileRawMeanSessionTransactionCount,0.2315470374912901
train,validation,profileRawTransactionCount,0.22608560603475142
test,validation,profileRawMeanSessionAction6Count,0.22239078413684968
test,validation,profileRawStdSessionTransactionFromSavingsCount,0.22159694133723612
train,test,profileRecipientTxnCount,0.21858599025275444
test,validation,profileRawStdSessionAction1Count,0.21775590829960959
test,validation,profileRawStdSessionTransactionFromCheckingCount,0.21619179999069957
train,test,profileRawMeanSessionAction5Count,0.21511075984277261
train,validation,profileRawStdSessionAction1Count,0.21038933917487218
test,validation,profileRawMeanSessionAction5Count,0.20926147348947127
test,validation,profileRawTransactionCount,0.208849993672015
train,validation,profileRawStdSessionAction5Count,0.20829580003553266
train,validation,profileRawMeanSessionActionCount,0.20787720119775663
test,validation,profileRawMeanSessionAction0Count,0.20597746771881997
test,validation,profileRawStdSessionTransactionFromCreditCardCount,0.20341072569948587
test,validation,profileRawStdSessionAction5Count,0.20339616510759914
train,test,profileRawMeanSessionTransactionFromCheckingCount,0.2009018782402497
train,test,profileRawMeanSessionAction1Count,0.19733135596625678
train,test,profileRawMeanSessionAction2Count,0.1908893155800408
test,validation,profileRawMeanSessionTransactionFromSavingsCount,0.1895200517945103
test,validation,action8Count,0.18715887258875488
test,validation,profileRawMeanSessionAction9Count,0.18568431511281192
test,validation,profileRawMeanSessionAction1Count,0.18361679637195025
test,validation,profileRawAmountMax,0.18166192767308487
test,validation,profileRawStdSessionAction4Count,0.18116312072122281
test,validation,amountMax,0.1805036711033866
train,validation,profileRawMeanSecondsToTransaction,0.17352166473753347
test,validation,profileRawMeanSessionTransactionFromCreditCardCount,0.1730915309333104
train,validation,profileRawStdSessionAction3Count,0.1684134268952688
test,validation,profileRawSessionCount,0.16338079393509738
train,test,profileRawStdSessionAction2Count,0.16215068801136234
train,test,profileRawStdSessionAction4Count,0.15965507854136235
train,validation,profileRawStdSessionAction4Count,0.1586474081238564
test,validation,dayOfWeek,0.15634177601053376
test,validation,profileRawAmountMin,0.1530829929801365
train,validation,distanceFromHome,0.1514852887062046
train,test,profileRawStdSessionAction3Count,0.15120094590457206
train,validation,profileRawMeanSessionTransactionFromCreditCardCount,0.15096467220008428
train,validation,profileRawSessionCount,0.14846912911740984
train,test,profileRawStdSessionTransactionFromCheckingCount,0.14778044232240434
train,validation,profileRawStdSessionAction0Count,0.14456225885084167
train,validation,profileRawMeanSessionAction4Count,0.14389269719507847
train,validation,profileRawAmountMax,0.1429167803533623
train,test,profileRawStdSessionActionCount,0.1368340815320737
train,test,amountMax,0.1350120143123959
train,test,distanceFromHome,0.13399367677663293
train,test,profileRawStdSecondsToTransaction,0.13256264111381838
train,test,profileRawMeanSessionAction3Count,0.13250553152965328
train,validation,profileRawMeanSessionAction3Count,0.13220263582063912
train,validation,profileRawStdSessionAction7Count,0.1291354321964781
train,test,profileRawStdSessionAction0Count,0.12912176238248058
train,test,profileRawStdSessionAction1Count,0.12895389400371787
