feature,vif
longitude,3.234562277904285
latitude,2.744350368879533
amount,2.6605485203604484
amountMod1,1.0414180818086505
amountMod100,1.2025028135513953
amountMod250,1.7527619581506535
amountMod500,2.6246027769963742
amountMod1000,2.3830080608461177
hour,1.4598080690949014
dayOfWeek,1.4663275631098236
dayOfMonth,1.5013907250830225
accountTypeChecking,inf
accountTypeSavings,inf
accountTypeCreditCard,inf
transactionCount,inf
action0Count,inf
action1Count,inf
action2Count,inf
action3Count,inf
action4Count,inf
action5Count,inf
action6Count,inf
action7Count,inf
action8Count,inf
action9Count,inf
actionCount,inf
secondsToTransaction,185.7881366469644
avgActionDuration,1.9020259231822745
amountSum,123.24923714444294
amountAvg,30.34650990740657
amountMin,6.96286432951868
amountMax,33.73278395891163
recipientTransactionCount,3.038674229642568
distinctRecipientCount,inf
repeatedRecipientCount,inf
profileRawInd,inf
profileRawAmountMin,255.98379885568448
profileRawAmountMax,32.53506559462226
profileRawAmountAvg,397.8149826450846
profileRawAmountStd,100.99234017162514
profileRawAmountPercentile10,325.2222504584373
profileRawAmountPercentile25,60.3042762288545
profileRawAmountPercentile50,30.850551871094826
profileRawAmountPercentile75,33.941120001637074
profileRawAmountPercentile90,36.31429736435616
profileAmountZScore,1.296764059776745
profileRawMeanSecondsToTransaction,372.40921339327747
profileRawStdSecondsToTransaction,406.4596566051551
profileSecondsToTransactionZScore,51.003401586469835
profileRawSessionCount,12.598743430822022
profileRawTransactionCount,55.760911077567826
profileRawMeanSessionActionCount,inf
profileRawMeanSessionAction0Count,inf
profileRawMeanSessionAction1Count,inf
profileRawMeanSessionAction2Count,inf
profileRawMeanSessionAction3Count,inf
profileRawMeanSessionAction4Count,inf
profileRawMeanSessionAction5Count,inf
profileRawMeanSessionAction6Count,inf
profileRawMeanSessionAction7Count,inf
profileRawMeanSessionAction8Count,inf
profileRawMeanSessionAction9Count,inf
profileRawStdSessionActionCount,1248.4492073863328
profileRawStdSessionAction0Count,38.093832953417575
profileRawStdSessionAction1Count,376.4279607949053
profileRawStdSessionAction2Count,125.53991803485172
profileRawStdSessionAction3Count,43.86312617597361
profileRawStdSessionAction4Count,67.8433690521301
profileRawStdSessionAction5Count,293.7930912458194
profileRawStdSessionAction6Count,146.25442435036442
profileRawStdSessionAction7Count,112.54022407424252
profileRawStdSessionAction8Count,27.96637932305878
profileRawStdSessionAction9Count,50.410484560754455
profileSessionActionCountZScore,29.254590399689192
profileSessionAction0CountZScore,2.189378306739028
profileSessionAction1CountZScore,5.613925587563247
profileSessionAction2CountZScore,4.991068008918928
profileSessionAction3CountZScore,3.020439913261484
profileSessionAction4CountZScore,51.98295684325845
profileSessionAction5CountZScore,8.09630645898029
profileSessionAction6CountZScore,49.45961232820467
profileSessionAction7CountZScore,71.49710423510538
profileSessionAction8CountZScore,9.219909655929149
profileSessionAction9CountZScore,146.37701570561782
profileRawMeanSessionTransactionCount,inf
profileRawMeanSessionTransactionFromCheckingCount,inf
profileRawMeanSessionTransactionFromSavingsCount,inf
profileRawMeanSessionTransactionFromCreditCardCount,inf
profileRawStdSessionTransactionCount,834.3213215534979
profileRawStdSessionTransactionFromCheckingCount,380.1782387544384
profileRawStdSessionTransactionFromSavingsCount,72.82539583006337
profileRawStdSessionTransactionFromCreditCardCount,64.44625990343064
profileSessionTransactionCountZScore,204.44924662447463
profileSessionTransactionFromCheckingCountZScore,83.95077268913832
profileSessionTransactionFromSavingsCountZScore,3.4474809070076806
profileSessionTransactionFromCreditCardCountZScore,7.093163323454718
profileRecipientTxnCount,2.9068746408927617
profileDistinctRecipientCount,56.803257294299016
age,2.5850952480487135
genderMale,1.9427778170110848
maritalStatusSingle,inf
maritalStatusMarried,inf
maritalStatusDivorced,inf
homeLongitude,3.4565120757791656
homeLatitude,3.2094810809899474
distanceFromHome,1.9586996938722245
