index,feature,iv,adj_iv
105,distanceFromHome,inf,4.6688786050970785
51,profileRawMeanSessionActionCount,inf,2.3347709314634977
50,profileRawTransactionCount,2.383425245922772,2.259065341761004
27,avgActionDuration,2.269784015754884,2.222642201457584
69,profileRawStdSessionAction6Count,inf,2.1341184152602217
46,profileRawMeanSecondsToTransaction,inf,2.025800523175045
88,profileRawStdSessionTransactionCount,inf,2.0105297231540877
68,profileRawStdSessionAction5Count,2.054698602539529,2.00893215856862
85,profileRawMeanSessionTransactionFromCheckingCount,inf,1.919229383896901
57,profileRawMeanSessionAction5Count,1.9383203213530016,1.907590743057532
65,profileRawStdSessionAction2Count,inf,1.8882570137858605
36,profileRawAmountMin,1.9002174652798987,1.81509525619911
67,profileRawStdSessionAction4Count,1.8085044594655106,1.7871161680337848
56,profileRawMeanSessionAction4Count,1.7984587734924045,1.7673221454088202
97,profileDistinctRecipientCount,1.7834488511405255,1.721794150726235
47,profileRawStdSecondsToTransaction,1.7515170180732815,1.7011553548271208
62,profileRawStdSessionActionCount,1.7608488099670123,1.6878595613990979
64,profileRawStdSessionAction1Count,inf,1.6823521277093578
59,profileRawMeanSessionAction7Count,1.7026756317558602,1.6731404669443746
81,profileSessionAction7CountZScore,1.6578239160810586,1.6395028470650927
84,profileRawMeanSessionTransactionCount,inf,1.59600736141477
73,profileSessionActionCountZScore,1.4770974630865104,1.4655426508804208
53,profileRawMeanSessionAction1Count,1.517325220479534,1.4547579534618456
78,profileSessionAction4CountZScore,1.4634072670030323,1.449651676887166
92,profileSessionTransactionCountZScore,1.4296410752013353,1.4194472833086638
45,profileAmountZScore,1.3944386100304813,1.384016314673924
79,profileSessionAction5CountZScore,inf,1.3688093196194109
54,profileRawMeanSessionAction2Count,1.4239562412014792,1.360947034773684
0,longitude,1.3763583951527856,1.349033730895878
29,amountAvg,1.3506026428603062,1.3412543724118424
48,profileSecondsToTransactionZScore,1.3087377691962803,1.29742437520488
83,profileSessionAction9CountZScore,1.2899428059569094,1.2798102083477683
22,action7Count,1.2686161991058782,1.2629570519997024
89,profileRawStdSessionTransactionFromCheckingCount,1.2603329649501311,1.222378727360918
104,homeLatitude,1.2307127950563426,1.215901790649416
71,profileRawStdSessionAction8Count,1.259260330852662,1.1888923711467765
